gender,hs_gpa,year,field,gpa,campus,money,aid,study,freq,drinks,classes,mods,relation,approval,family
0,76.0,2,1,72.0,1,0,0,4,-1,4,3,0,1,1,3
1,89.0,2,2,75.0,1,3,1,4,-1,2,4,0,0,1,3
1,76.0,1,0,55.0,1,0,0,2,2,4,3,0,0,1,3
1,89.0,2,4,84.0,1,2,0,2,3,4,2,0,1,1,3
0,74.0,2,1,52.0,1,0,0,2,-1,3,1,3,0,1,2
1,80.0,2,2,54.0,1,1,0,4,2,3,1,0,0,1,3
0,85.0,2,1,75.0,1,1,0,2,3,2,2,0,1,1,3
0,80.0,2,1,75.0,1,2,0,4,3,4,0,0,0,1,0
1,79.0,2,2,64.0,1,1,0,2,2,2,2,4,0,1,3
0,72.0,2,2,76.0,1,2,0,1,1,2,0,0,1,1,3
0,87.0,1,8,75.0,1,0,0,4,-1,1,0,0,0,1,3
1,74.0,1,2,65.0,1,1,0,1,4,3,0,0,1,1,3
1,69.0,2,1,55.0,1,2,0,3,-1,3,3,3,0,1,3
1,79.0,2,2,54.0,0,1,0,3,2,0,0,1,0,1,2
1,80.0,2,4,62.0,1,0,1,4,-1,3,0,2,0,1,3
0,83.0,2,5,55.0,1,0,0,1,-1,2,2,4,0,1,3
0,78.0,1,2,76.0,1,2,0,4,2,2,2,0,0,1,3
1,74.0,2,1,65.0,1,2,0,2,2,4,2,2,0,1,3
1,83.0,3,4,69.0,1,1,0,4,-1,2,0,0,1,1,3
1,79.0,2,4,60.0,1,4,0,3,-1,4,1,3,0,1,3
0,83.0,2,2,55.0,0,1,0,4,-1,1,0,1,0,1,3
0,79.0,1,2,74.0,1,2,0,2,3,3,0,0,0,1,3
1,87.0,2,4,70.0,1,1,0,4,1,3,0,0,0,1,3
1,84.0,1,4,60.0,1,0,0,4,-1,3,0,0,0,1,3
1,86.0,2,2,54.0,1,1,0,3,1,3,2,1,1,1,3
0,80.0,2,8,75.0,1,2,0,4,1,2,0,1,1,1,3
1,80.0,1,2,63.0,1,0,0,2,0,4,2,0,0,1,3
1,78.0,2,2,73.0,1,1,0,3,2,3,2,0,0,1,3
1,73.0,1,2,57.0,1,1,0,3,1,4,2,3,1,1,0
1,99.0,2,2,90.0,1,0,0,3,-1,2,3,4,0,1,3
0,82.6,2,1,75.0,1,0,0,4,3,1,0,0,1,1,0
0,78.0,1,2,78.0,1,4,0,1,3,3,2,0,1,1,0
0,65.0,2,2,55.0,1,0,0,2,1,2,2,4,1,1,3
1,84.0,2,2,70.0,1,1,0,1,1,4,4,0,1,1,3
1,81.0,2,2,60.0,1,2,0,1,2,3,0,3,1,1,3
1,76.0,1,1,61.0,1,1,0,2,1,1,0,0,1,1,3
